nct_id,parameter,arm,sex,como_cnt,age_std_m,base_m,age_std_s,base_s,participants
NCT00106535,sf36_mcs,0,0,0,-0.953,54.622,0.799,14.277,91
NCT00106535,sf36_mcs,0,0,1,-0.73,52.392,0.833,14.731,91
NCT00106535,sf36_mcs,0,0,2,-0.267,49.796,0.682,14.66,113
NCT00106535,sf36_mcs,0,1,0,-0.595,57.389,0.896,15.19,13
NCT00106535,sf36_mcs,0,1,1,-0.508,55.556,0.774,16.02,26
NCT00106535,sf36_mcs,0,1,2,-0.482,50.144,0.852,11.59,17
NCT00106535,sf36_mcs,1,0,0,-0.876,54.145,0.805,16.675,99
NCT00106535,sf36_mcs,1,0,1,-0.387,52.65,0.689,14.234,100
NCT00106535,sf36_mcs,1,0,2,-0.201,51.096,0.736,14.735,127
NCT00106535,sf36_mcs,1,1,0,-0.744,57.465,0.703,13.765,31
NCT00106535,sf36_mcs,1,1,1,-0.305,52.346,0.557,16.545,21
NCT00106535,sf36_mcs,1,1,2,0.168,49.962,0.535,15.477,21
NCT00106535,sf36_pcs,0,0,0,-0.953,47.745,0.799,12.089,91
NCT00106535,sf36_pcs,0,0,1,-0.73,46.693,0.833,12.718,91
NCT00106535,sf36_pcs,0,0,2,-0.267,43.808,0.682,12.837,113
NCT00106535,sf36_pcs,0,1,0,-0.595,51.055,0.896,14.384,13
NCT00106535,sf36_pcs,0,1,1,-0.508,49.342,0.774,13.676,26
NCT00106535,sf36_pcs,0,1,2,-0.482,45.729,0.852,10.078,17
NCT00106535,sf36_pcs,1,0,0,-0.876,50.331,0.805,15.3,99
NCT00106535,sf36_pcs,1,0,1,-0.387,46.218,0.689,13.626,100
NCT00106535,sf36_pcs,1,0,2,-0.201,44.509,0.736,13.231,127
NCT00106535,sf36_pcs,1,1,0,-0.744,49.471,0.703,13.433,31
NCT00106535,sf36_pcs,1,1,1,-0.305,48.1,0.557,15.413,21
NCT00106535,sf36_pcs,1,1,2,0.168,45.731,0.535,14.255,21
NCT00125918,sf36_mcs,0,0,0,-0.8,57.565,0.619,16.744,7
NCT00125918,sf36_mcs,0,0,1,-0.655,56.837,1.086,12.368,17
NCT00125918,sf36_mcs,0,0,2,-0.35,56.15,0.931,14.13,40
NCT00125918,sf36_mcs,0,1,0,-0.333,61.971,1.401,8.186,7
NCT00125918,sf36_mcs,0,1,1,0.567,40.212,0.896,2.069,2
NCT00125918,sf36_mcs,0,1,2,0.158,43.469,1.083,9.292,8
NCT00125918,sf36_mcs,1,0,0,-1.404,53.476,1.012,10.096,15
NCT00125918,sf36_mcs,1,0,1,-0.871,58.857,0.794,14.68,15
NCT00125918,sf36_mcs,1,0,2,-0.225,55.243,0.991,12.27,29
NCT00125918,sf36_mcs,1,1,0,-0.324,61,0.823,12.495,7
