nct_id,outcome,modeltype,0,1,2,3,4,5,6,7,8,9,10
NCT00207766,sf36_MCS,comosm,62 (2),60 (2),58 (2),56 (2),53 (3),51 (4),49 (4),NA,NA,NA,NA
NCT00207766,sf36_MCS,comosq,62 (3),60 (2),58 (2),56 (2),54 (4),53 (6),51 (9),NA,NA,NA,NA
NCT00207766,sf36_PCS,comosm,63 (2),60 (2),58 (2),56 (2),53 (2),51 (3),49 (4),NA,NA,NA,NA
NCT00207766,sf36_PCS,comosq,62 (2),61 (2),58 (2),56 (2),52 (3),48 (5),43 (8),NA,NA,NA,NA
NCT00231595,sf36_MCS,comosm,65 (3),65 (3),65 (3),65 (3),65 (3),65 (3),65 (4),65 (4),65 (4),65 (4),66 (5)
NCT00231595,sf36_MCS,comosq,65 (3),64 (3),64 (3),63 (3),63 (4),63 (4),64 (4),64 (4),65 (4),66 (4),68 (5)
NCT00231595,sf36_PCS,comosm,67 (3),67 (2),67 (2),67 (2),67 (3),67 (3),67 (3),67 (3),67 (3),67 (3),67 (4)
NCT00231595,sf36_PCS,comosq,67 (3),67 (3),67 (3),67 (3),67 (3),67 (3),67 (3),67 (3),67 (3),67 (4),67 (4)
NCT00236028,sf36_MCS,comosm,64 (1),63 (1),62 (1),62 (2),61 (2),60 (3),59 (3),NA,NA,NA,NA
NCT00236028,sf36_MCS,comosq,64 (1),63 (1),62 (1),62 (2),64 (3),66 (6),70 (10),NA,NA,NA,NA
NCT00236028,sf36_PCS,comosm,60 (1),59 (1),57 (1),56 (2),55 (2),53 (3),52 (4),NA,NA,NA,NA
NCT00236028,sf36_PCS,comosq,61 (2),59 (1),57 (1),56 (2),56 (4),57 (7),58 (11),NA,NA,NA,NA
NCT00264537,sf36_MCS,comosm,56 (2),55 (2),54 (2),53 (2),52 (3),51 (4),NA,NA,NA,NA,NA
NCT00264537,sf36_MCS,comosq,56 (2),55 (2),54 (2),53 (2),53 (4),53 (7),NA,NA,NA,NA,NA
NCT00264537,sf36_PCS,comosm,53 (2),52 (2),51 (2),50 (2),48 (3),47 (4),NA,NA,NA,NA,NA
NCT00264537,sf36_PCS,comosq,53 (2),52 (2),51 (2),49 (2),48 (4),47 (7),NA,NA,NA,NA,NA
NCT00264550,sf36_MCS,comosm,56 (2),55 (2),54 (2),53 (3),52 (3),51 (4),NA,NA,NA,NA,NA
NCT00264550,sf36_MCS,comosq,56 (3),55 (2),54 (2),53 (3),52 (4),52 (6),NA,NA,NA,NA,NA
NCT00264550,sf36_PCS,comosm,50 (2),49 (2),49 (2),48 (2),47 (3),46 (3),NA,NA,NA,NA,NA
NCT00264550,sf36_PCS,comosq,50 (2),49 (2),48 (2),48 (2),48 (3),48 (6),NA,NA,NA,NA,NA
NCT00265083,sf36_MCS,comosm,62 (2),59 (2),57 (2),55 (2),52 (3),50 (4),NA,NA,NA,NA,NA
NCT00265083,sf36_MCS,comosq,62 (2),59 (2),57 (2),55 (2),53 (4),52 (6),NA,NA,NA,NA,NA
NCT00265083,sf36_PCS,comosm,54 (2),51 (2),48 (2),46 (2),43 (3),41 (4),NA,NA,NA,NA,NA
NCT00265083,sf36_PCS,comosq,53 (2),51 (2),49 (2),46 (3),42 (4),38 (7),NA,NA,NA,NA,NA
NCT00265096,sf36_MCS,comosm,61 (2),59 (1),57 (2),56 (2),54 (3),52 (3),51 (4),49 (5),NA,NA,NA
NCT00265096,sf36_MCS,comosq,60 (2),59 (2),57 (2),56 (2),54 (3),52 (5),50 (7),47 (11),NA,NA,NA
NCT00265096,sf36_PCS,comosm,57 (2),54 (1),52 (2),51 (2),52 (3),52 (4),52 (6),53 (9),NA,NA,NA
NCT00265096,sf36_PCS,comosq,57 (2),54 (2),52 (2),51 (2),52 (3),54 (5),57 (7),61 (11),NA,NA,NA
NCT00267969,sf36_MCS,comosm,67 (1),66 (1),64 (2),57 (2),43 (7),NA,NA,NA,NA,NA,NA
NCT00267969,sf36_MCS,comosq,67 (1),66 (1),63 (1),57 (2),48 (5),NA,NA,NA,NA,NA,NA
NCT00267969,sf36_PCS,comosm,69 (1),68 (1),66 (1),63 (2),60 (4),NA,NA,NA,NA,NA,NA
NCT00267969,sf36_PCS,comosq,69 (1),68 (1),66 (1),62 (2),56 (5),NA,NA,NA,NA,NA,NA
NCT00361335,sf36_MCS,comosm,57 (2),55 (2),53 (2),52 (2),50 (3),48 (3),46 (4),NA,NA,NA,NA
NCT00361335,sf36_MCS,comosq,57 (2),55 (2),53 (2),52 (2),50 (3),48 (4),46 (6),NA,NA,NA,NA
NCT00361335,sf36_PCS,comosm,50 (2),48 (2),46 (2),45 (2),43 (2),41 (3),40 (3),NA,NA,NA,NA
NCT00361335,sf36_PCS,comosq,49 (2),48 (2),47 (2),45 (2),43 (2),40 (3),36 (5),NA,NA,NA,NA
NCT00487539,eq5d_index,comosm,0.88 (0.01),0.88 (0.01),0.88 (0.01),0.88 (0.01),0.87 (0.01),0.87 (0.01),NA,NA,NA,NA,NA
NCT00487539,eq5d_index,comosq,0.88 (0.01),0.88 (0.01),0.88 (0.01),0.88 (0.01),0.88 (0.02),0.89 (0.03),NA,NA,NA,NA,NA
NCT00487539,sf36_MCS,comosm,55 (1),55 (1),55 (1),55 (1),55 (2),56 (2),NA,NA,NA,NA,NA
NCT00487539,sf36_MCS,comosq,55 (1),54 (1),55 (1),56 (1),57 (3),60 (5),NA,NA,NA,NA,NA
NCT00487539,sf36_PCS,comosm,59 (1),59 (1),59 (1),59 (1),59 (1),58 (2),NA,NA,NA,NA,NA
NCT00487539,sf36_PCS,comosq,59 (1),59 (1),59 (1),59 (1),58 (2),58 (4),NA,NA,NA,NA,NA
NCT00488631,eq5d_index,comosm,0.92 (0.01),0.91 (0.01),0.91 (0.01),0.9 (0.01),0.9 (0.02),0.89 (0.02),NA,NA,NA,NA,NA
NCT00488631,eq5d_index,comosq,0.92 (0.01),0.91 (0.01),0.91 (0.01),0.9 (0.01),0.9 (0.02),0.9 (0.04),NA,NA,NA,NA,NA
NCT00488631,sf36_MCS,comosm,64 (2),63 (2),62 (2),60 (2),59 (3),58 (3),NA,NA,NA,NA,NA
NCT00488631,sf36_MCS,comosq,65 (2),62 (2),61 (2),61 (2),62 (4),63 (7),NA,NA,NA,NA,NA
NCT00488631,sf36_PCS,comosm,66 (1),65 (1),64 (1),63 (2),62 (2),61 (3),NA,NA,NA,NA,NA
NCT00488631,sf36_PCS,comosq,67 (1),65 (1),64 (1),63 (2),64 (3),66 (6),NA,NA,NA,NA,NA
NCT00973479,eq5d_index,comosm,0.8 (0.01),0.81 (0.01),0.78 (0.01),0.78 (0.02),0.86 (0.04),NA,NA,NA,NA,NA,NA
NCT00973479,eq5d_index,comosq,0.8 (0.01),0.8 (0.01),0.8 (0.01),0.8 (0.02),0.8 (0.03),NA,NA,NA,NA,NA,NA
NCT00973479,sf36_MCS,comosm,48 (1),47 (1),46 (1),45 (1),44 (1),NA,NA,NA,NA,NA,NA
NCT00973479,sf36_MCS,comosq,48 (1),47 (1),46 (1),45 (1),45 (3),NA,NA,NA,NA,NA,NA
NCT00973479,sf36_PCS,comosm,47 (1),46 (1),46 (1),45 (1),45 (2),NA,NA,NA,NA,NA,NA
NCT00973479,sf36_PCS,comosq,47 (1),46 (1),46 (1),45 (2),45 (3),NA,NA,NA,NA,NA,NA
NCT01009086,sf36_MCS,comosm,57 (2),61 (3),62 (4),59 (6),55 (7),50 (8),44 (11),NA,NA,NA,NA
NCT01009086,sf36_MCS,comosq,57 (2),62 (3),64 (4),62 (5),58 (6),50 (8),39 (12),NA,NA,NA,NA
NCT01009086,sf36_PCS,comosm,51 (2),54 (2),55 (4),53 (5),50 (6),46 (8),42 (11),NA,NA,NA,NA
NCT01009086,sf36_PCS,comosq,51 (2),55 (3),56 (4),55 (5),51 (6),45 (8),36 (12),NA,NA,NA,NA
NCT01077362,sf36_MCS,comosm,53 (3),55 (3),57 (4),59 (6),NA,NA,NA,NA,NA,NA,NA
NCT01077362,sf36_MCS,comosq,53 (3),58 (4),57 (4),51 (11),NA,NA,NA,NA,NA,NA,NA
NCT01077362,sf36_PCS,comosm,46 (2),50 (2),54 (4),58 (5),NA,NA,NA,NA,NA,NA,NA
NCT01077362,sf36_PCS,comosq,46 (2),52 (4),54 (4),54 (9),NA,NA,NA,NA,NA,NA,NA
NCT01106625,eq5d_index,comosm,0.91 (0.01),0.92 (0.01),0.92 (0.01),0.91 (0.01),0.9 (0.01),0.89 (0.01),0.88 (0.02),0.87 (0.03),NA,NA,NA
NCT01106625,eq5d_index,comosq,0.91 (0.01),0.92 (0.01),0.92 (0.01),0.92 (0.01),0.9 (0.01),0.89 (0.01),0.86 (0.02),0.83 (0.03),NA,NA,NA
NCT01106625,sf36_MCS,comosm,52 (1),52 (0),51 (0),51 (0),50 (1),50 (1),49 (1),49 (1),NA,NA,NA
