nct_id,term,outcome,model_type,0,1,2,3,4,5,6,7,8,9,10,11
NCT00046254,como,eq5d_index,sp,0.56 (0.018),0.545 (0.017),0.529 (0.017),0.511 (0.017),0.493 (0.017),0.476 (0.017),0.466 (0.017),0.464 (0.018),0.466 (0.019),0.469 (0.022),0.471 (0.028),
NCT00046254,como,eq5d_index,sq,0.568 (0.018),0.546 (0.017),0.526 (0.017),0.509 (0.017),0.494 (0.017),0.482 (0.017),0.472 (0.017),0.464 (0.018),0.459 (0.019),0.457 (0.021),0.457 (0.024),
NCT00046254,inter,eq5d_index,sp,0.559 (0.019),0.546 (0.017),0.53 (0.017),0.513 (0.017),0.495 (0.017),0.477 (0.018),0.463 (0.018),0.455 (0.019),0.455 (0.021),0.462 (0.027),0.471 (0.037),
NCT00046254,inter,eq5d_index,sq,0.568 (0.019),0.547 (0.017),0.529 (0.017),0.512 (0.017),0.496 (0.017),0.482 (0.017),0.47 (0.018),0.459 (0.019),0.449 (0.021),0.441 (0.025),0.435 (0.03),
NCT00100620,como,eq5d_index,sp,,0.276 (0.025),0.273 (0.024),0.271 (0.024),0.269 (0.024),0.267 (0.024),0.265 (0.024),0.263 (0.025),0.261 (0.025),0.259 (0.026),0.257 (0.027),
NCT00100620,como,eq5d_index,sq,,0.276 (0.025),0.273 (0.024),0.27 (0.024),0.268 (0.024),0.266 (0.024),0.265 (0.024),0.264 (0.025),0.264 (0.027),0.264 (0.032),0.265 (0.038),
NCT00100620,inter,eq5d_index,sp,,0.274 (0.025),0.273 (0.025),0.273 (0.024),0.272 (0.024),0.272 (0.025),0.271 (0.025),0.271 (0.026),0.27 (0.028),0.27 (0.029),0.269 (0.031),
NCT00100620,inter,eq5d_index,sq,,0.273 (0.025),0.273 (0.025),0.273 (0.025),0.272 (0.025),0.272 (0.025),0.271 (0.025),0.27 (0.027),0.269 (0.032),0.268 (0.04),0.266 (0.051),
NCT00125918,como,eq5d_index,sp,0.26 (0.067),0.255 (0.065),0.25 (0.064),0.245 (0.064),0.239 (0.063),0.234 (0.063),0.229 (0.062),0.224 (0.062),0.219 (0.063),0.213 (0.063),,
NCT00125918,como,eq5d_index,sq,0.253 (0.069),0.252 (0.066),0.249 (0.065),0.245 (0.064),0.24 (0.063),0.233 (0.063),0.225 (0.063),0.216 (0.065),0.205 (0.07),0.193 (0.078),,
NCT00125918,inter,eq5d_index,sp,0.257 (0.065),0.254 (0.063),0.252 (0.062),0.25 (0.06),0.247 (0.06),0.245 (0.059),0.243 (0.06),0.241 (0.06),0.238 (0.061),0.236 (0.063),,
NCT00125918,inter,eq5d_index,sq,0.259 (0.068),0.255 (0.064),0.251 (0.062),0.248 (0.061),0.246 (0.06),0.246 (0.06),0.246 (0.062),0.247 (0.069),0.249 (0.082),0.252 (0.103),,
NCT00291330,como,eq5d_index,sp,0.613 (0.015),0.609 (0.015),0.595 (0.015),0.573 (0.015),0.558 (0.015),0.562 (0.017),0.572 (0.021),0.556 (0.028),0.508 (0.05),,,
